date,count,package
2015-07-13,94,agricolae
2015-07-14,100,agricolae
2015-07-15,86,agricolae
2015-07-16,99,agricolae
2015-07-17,61,agricolae
2015-07-18,53,agricolae
2015-07-19,39,agricolae
2015-07-20,149,agricolae
2015-07-21,83,agricolae
2015-07-22,100,agricolae
2015-07-23,118,agricolae
2015-07-24,129,agricolae
2015-07-25,61,agricolae
2015-07-26,44,agricolae
2015-07-27,81,agricolae
2015-07-28,142,agricolae
2015-07-29,76,agricolae
2015-07-30,96,agricolae
2015-07-31,71,agricolae
2015-08-01,50,agricolae
2015-08-02,24,agricolae
2015-08-03,70,agricolae
2015-08-04,172,agricolae
2015-08-05,84,agricolae
2015-08-06,103,agricolae
2015-08-07,107,agricolae
2015-08-08,62,agricolae
2015-08-09,53,agricolae
2015-08-10,81,agricolae
2015-08-11,89,agricolae
2015-08-12,102,agricolae
2015-08-13,101,agricolae
2015-08-14,193,agricolae
2015-08-15,133,agricolae
2015-08-16,89,agricolae
2015-08-17,229,agricolae
2015-08-18,177,agricolae
2015-08-19,176,agricolae
2015-08-20,170,agricolae
2015-08-21,157,agricolae
2015-08-22,83,agricolae
2015-08-23,63,agricolae
2015-08-24,150,agricolae
2015-08-25,127,agricolae
2015-08-26,136,agricolae
2015-08-27,158,agricolae
2015-08-28,140,agricolae
2015-08-29,55,agricolae
2015-08-30,55,agricolae
2015-08-31,187,agricolae
2015-09-01,163,agricolae
2015-09-02,255,agricolae
2015-09-03,186,agricolae
2015-09-04,204,agricolae
2015-09-05,65,agricolae
2015-09-06,69,agricolae
2015-09-07,149,agricolae
2015-09-08,130,agricolae
2015-09-09,233,agricolae
2015-09-10,196,agricolae
2015-09-11,106,agricolae
2015-09-12,95,agricolae
2015-09-13,79,agricolae
2015-09-14,163,agricolae
2015-09-15,197,agricolae
2015-09-16,182,agricolae
2015-09-17,181,agricolae
2015-09-18,157,agricolae
2015-09-19,74,agricolae
2015-09-20,77,agricolae
2015-09-21,227,agricolae
2015-09-22,185,agricolae
2015-09-23,194,agricolae
2015-09-24,219,agricolae
2015-09-25,169,agricolae
