date,package,count
2018-08-02,agricolae,376
2018-08-03,agricolae,307
2018-08-04,agricolae,179
2018-08-05,agricolae,146
2018-08-06,agricolae,351
2018-08-07,agricolae,326
2018-08-08,agricolae,372
2018-08-09,agricolae,405
2018-08-10,agricolae,413
2018-08-11,agricolae,219
2018-08-12,agricolae,192
2018-08-13,agricolae,306
2018-08-14,agricolae,374
2018-08-15,agricolae,310
2018-08-16,agricolae,317
2018-08-17,agricolae,318
2018-08-18,agricolae,204
2018-08-19,agricolae,141
2018-08-20,agricolae,339
2018-08-21,agricolae,401
2018-08-22,agricolae,455
2018-08-23,agricolae,383
2018-08-24,agricolae,351
2018-08-25,agricolae,151
2018-08-26,agricolae,157
2018-08-27,agricolae,397
2018-08-28,agricolae,534
2018-08-29,agricolae,447
2018-08-30,agricolae,510
2018-08-31,agricolae,328
2018-09-01,agricolae,202
2018-09-02,agricolae,162
2018-09-03,agricolae,340
2018-09-04,agricolae,408
2018-09-05,agricolae,535
2018-09-06,agricolae,436
2018-09-07,agricolae,355
2018-09-08,agricolae,209
2018-09-09,agricolae,248
2018-09-10,agricolae,598
2018-09-11,agricolae,647
2018-09-12,agricolae,678
2018-09-13,agricolae,639
2018-09-14,agricolae,489
2018-09-15,agricolae,197
2018-09-16,agricolae,217
2018-09-17,agricolae,658
2018-09-18,agricolae,627
2018-09-19,agricolae,602
2018-09-20,agricolae,721
2018-09-21,agricolae,548
2018-09-22,agricolae,276
2018-09-23,agricolae,322
2018-09-24,agricolae,592
2018-09-25,agricolae,672
2018-09-26,agricolae,784
2018-09-27,agricolae,702
2018-09-28,agricolae,557
2018-09-29,agricolae,225
2018-09-30,agricolae,236
2018-10-01,agricolae,604
2018-10-02,agricolae,527
2018-10-03,agricolae,665
2018-10-04,agricolae,614
2018-10-05,agricolae,504
2018-10-06,agricolae,257
2018-10-07,agricolae,184
2018-10-08,agricolae,560
2018-10-09,agricolae,594
2018-10-10,agricolae,732
2018-10-11,agricolae,654
2018-10-12,agricolae,444
2018-10-13,agricolae,227
2018-10-14,agricolae,208
2018-10-15,agricolae,662
2018-10-16,agricolae,534
2018-10-17,agricolae,615
2018-10-18,agricolae,531
2018-10-19,agricolae,510
2018-10-20,agricolae,217
2018-10-21,agricolae,178
2018-10-22,agricolae,583
2018-10-23,agricolae,546
2018-10-24,agricolae,680
2018-10-25,agricolae,736
2018-10-26,agricolae,652
2018-10-27,agricolae,201
2018-10-28,agricolae,219
2018-10-29,agricolae,617
2018-10-30,agricolae,748
2018-10-31,agricolae,723
2018-11-01,agricolae,579
2018-11-02,agricolae,432
2018-11-03,agricolae,287
2018-11-04,agricolae,315
2018-11-05,agricolae,617
2018-11-06,agricolae,595
2018-11-07,agricolae,551
2018-11-08,agricolae,567
2018-11-09,agricolae,471
2018-11-10,agricolae,251
2018-11-11,agricolae,256
2018-11-12,agricolae,538
2018-11-13,agricolae,575
2018-11-14,agricolae,624
2018-11-15,agricolae,626
2018-11-16,agricolae,539
2018-11-17,agricolae,233
2018-11-18,agricolae,254
2018-11-19,agricolae,442
2018-11-20,agricolae,564
2018-11-21,agricolae,589
2018-11-22,agricolae,444
2018-11-23,agricolae,374
2018-11-24,agricolae,232
2018-11-25,agricolae,241
2018-11-26,agricolae,600
2018-11-27,agricolae,774
2018-11-28,agricolae,728
2018-11-29,agricolae,573
2018-11-30,agricolae,502
2018-12-01,agricolae,253
2018-12-02,agricolae,262
2018-12-03,agricolae,639
2018-12-04,agricolae,615
